ID,WTP,gender,age,urban,income_1,liberal_1
1,72249.92,2,44,2,4,4
2,173915.49,2,32,1,7,7
3,154647.89,2,35,1,6,6
4,168845.07,1,35,2,6,6
5,145014.08,2,23,2,7,5
6,128281.69,2,45,2,4,5
7,155661.97,2,32,1,5,5
8,144760.56,2,32,3,6,6
9,42845.07,2,38,1,5,6
10,82647.9,2,40,1,3,6
11,49683.67,1,36,3,4,6
12,105971.83,2,32,1,5,5
13,147802.82,2,32,3,6,6
14,90253.52,1,40,1,1,1
15,170619.72,1,32,1,6,6
16,130056.34,1,36,1,5,1
17,179239.44,2,32,1,6,6
18,171380.28,2,62,1,7,6
19,0,1,64,1,1,7
20,151098.59,2,32,1,6,6
21,96845.07,2,44,1,7,6
22,86197.19,2,40,1,2,6
23,105464.79,2,61,2,3,5
24,172394.37,2,39,1,5,5
25,85690.14,1,28,3,4,5
26,6084.51,1,55,2,1,7
27,171380.28,1,52,1,7,5
28,49690.14,1,35,3,5,6
29,100901.41,1,43,1,6,6
30,96084.51,1,36,1,7,7
31,156422.54,2,44,1,5,5
32,130816.9,2,32,2,7,7
33,99887.32,,38,1,6,7
34,150591.55,1,46,1,7,6
35,80619.72,1,34,3,7,7
36,171887.32,1,32,1,6,6
37,106985.92,2,31,2,2,5
38,180000,2,30,3,7,7
39,180000,2,32,1,6,6
40,166563.38,1,38,1,6,7
41,159464.79,2,32,3,6,6
42,157436.62,1,32,1,6,6
43,166563.38,2,40,1,7,6
44,146788.73,1,47,1,6,5
45,88225.35,2,40,1,7,6
46,156929.58,2,44,1,6,4
47,64140.85,2,27,1,4,5
48,165295.77,2,32,1,6,6
49,166563.38,1,37,1,7,6
50,92281.69,2,45,1,2,4
51,166056.34,1,42,1,7,7
52,166563.38,1,32,1,6,6
53,148816.9,2,35,2,6,6
54,148816.9,2,32,3,6,6
55,148309.86,2,32,1,6,6
56,138676.06,2,27,1,6,6
57,154140.85,1,35,2,7,6
58,127014.08,2,32,1,6,6
59,143746.48,2,40,1,6,7
60,130056.34,2,41,1,5,6
61,168084.51,2,32,1,6,6
62,149830.99,2,32,3,6,6
63,167830.99,1,34,1,6,7
64,164535.21,2,32,1,6,6
65,127267.61,,2,1,3,5
66,126000,2,40,1,6,6
67,157943.66,1,32,1,6,6
68,158957.75,1,36,2,6,6
69,107239.44,2,28,1,7,7
70,108760.56,2,43,2,3,6
71,163774.65,2,32,1,6,6
72,180000,2,30,3,7,7
73,177464.79,2,32,1,7,7
74,119408.45,2,32,1,6,6
75,141971.83,2,32,3,6,6
76,161746.48,2,32,1,6,7
77,70985.92,2,41,2,2,5
78,180000,2,30,1,7,7
79,163521.13,2,32,2,6,6
80,168591.55,1,32,1,6,6
81,162760.56,1,32,1,6,7
82,160732.39,2,32,3,6,6
83,180000,2,30,1,7,7
84,165549.3,2,32,1,6,7
85,180000,2,32,1,7,7
86,170619.72,1,46,3,7,6
87,156422.54,2,32,3,6,6
88,132591.55,1,30,2,2,5
